theme,montant
"CIF, CIP ou autres prestataires",120 000 €
Manquement d'initié,3 160 000 €
Obligations professionnelles,93 000 000 €
Obligations professionnelles,150 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,500 000 €
Obligations professionnelles,1 800 000 €
Obligations professionnelles,200 000 €
"CIF, CIP ou autres prestataires",150 000 €
Manipulation de marché,780 000 €
"CIF, CIP ou autres prestataires",200 000 €
"CIF, CIP ou autres prestataires",1 550 000 €
Manquement d'initié,800 000 €
Manipulation de marché,60 000 €
Manquement d'initié,100 000 €
Obligations professionnelles,50 000€
"CIF, CIP ou autres prestataires",300 000 €
Obligations professionnelles,37 020 000 €
Manquement d'initié,1 500 000 €
Obligations professionnelles,250 000 €
Obligation d'information,80 000 €
Obligations professionnelles,220 000 €
Manipulation de marché,2 400 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,600 000 €
Manquement d'initié,18 200 000 €
Obligations professionnelles,100 000 €
"CIF, CIP ou autres prestataires",50 000 €
"CIF, CIP ou autres prestataires",20 000 €
Manipulation de marché,1 000 000 €
Obligations professionnelles,275 000 €
Obligations professionnelles,110 000 €
Obligations professionnelles,5 050 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,100 000 €
Obligations professionnelles,100 000 €
Obligation d'information,20 000 000 €
Manquement d'initié,2 400 000 €
Obligations professionnelles,500 000 €
Instrument financier,"250 000 €
2 mises hors de cause"
Obligations professionnelles,"50 000 €
2 blâmes
1 interdiction d’exercer 
l’activité de gestionnaire d’actifs pour le compte de tiers et de gestion collective (5 ans)"
Manipulation de marché,5 000 000 €
Manipulation de marché,20 000 000 €
Obligations professionnelles,"680 000 €
1 avertissement"
"CIF, CIP ou autres prestataires",100 000 €
Obligation d'information,120 000 €
PSI,"3 000 000 €
1 mise hors de cause"
Obligations professionnelles,"200 000 €
2 avertissements"
PSI,"220 000 €
1 blâme"
"CIF, CIP ou autres prestataires","150 000 €
1 blâme"
Obligations professionnelles,70 000 €
"CIF, CIP ou autres prestataires",20 000 €
"CIF, CIP ou autres prestataires","50 000 €
1 avertissement"
Manquement d'initié,"700 000 €
4 mises hors de cause"
Manquement d'initié,830 000 €
Manquement d'initié,530 000 €
Manquement d'initié,"350 000 €
1 avertissement"
"CIF, CIP ou autres prestataires",50 000 €
Obligations professionnelles,"170 000 €
2 interdictions d'exercer l'activité de CIF (10 ans)"
"CIF, CIP ou autres prestataires",1 666 000 €
"CIF, CIP ou autres prestataires",450 000 €
Obligation d'information,"50 000 €
2 interdictions d'exercer l'activité d'intermédiaires en biens divers (10 ans)"
Manipulation de marché,920 000 €
